x,y
-2.099999999999999645e+00,-5.099999999999993427e-01
-2.299999999999999822e+00,-7.099999999999995204e-01
-2.500000000000000000e+00,-9.099999999999992539e-01
-2.699999999999999289e+00,-1.109999999999999432e+00
-2.899999999999999467e+00,-1.309999999999999609e+00
-3.099999999999999645e+00,-1.509999999999999343e+00
-3.299999999999999822e+00,-1.709999999999999520e+00
-3.500000000000000000e+00,-1.909999999999999698e+00
-3.699999999999999734e+00,-2.109999999999999432e+00
-3.899999999999999911e+00,-2.309999999999999609e+00
-4.099999999999999645e+00,-2.309999999999999609e+00
-4.299999999999999822e+00,-2.309999999999999609e+00
-4.500000000000000000e+00,-2.309999999999999609e+00
