x,y
-2.099999999999999645e+00,-5.099999999999993427e-01
-1.899999999999999467e+00,-7.099999999999995204e-01
-1.699999999999999289e+00,-9.099999999999992539e-01
-1.500000000000000000e+00,-1.109999999999999432e+00
-1.299999999999999822e+00,-1.309999999999999609e+00
-1.099999999999999645e+00,-1.509999999999999343e+00
-8.999999999999994671e-01,-1.709999999999999520e+00
-6.999999999999992895e-01,-1.909999999999999698e+00
-5.000000000000000000e-01,-1.909999999999999698e+00
-2.999999999999998224e-01,-1.909999999999999698e+00
-9.999999999999964473e-02,-1.909999999999999698e+00
1.000000000000005329e-01,-1.909999999999999698e+00
