obs_x,obs_y
-7.500000000000000000e+00,5.140000000000001457e+00
-7.500000000000000000e+00,5.090000000000000746e+00
-7.500000000000000000e+00,5.040000000000000036e+00
-7.500000000000000000e+00,4.990000000000001101e+00
-7.500000000000000000e+00,4.940000000000000391e+00
-7.500000000000000000e+00,4.890000000000001457e+00
-7.500000000000000000e+00,4.840000000000000746e+00
-7.500000000000000000e+00,4.790000000000000036e+00
-7.500000000000000000e+00,4.740000000000001101e+00
-7.500000000000000000e+00,4.690000000000000391e+00
-7.500000000000000000e+00,4.640000000000001457e+00
-7.500000000000000000e+00,4.590000000000000746e+00
-7.500000000000000000e+00,4.540000000000000036e+00
-7.500000000000000000e+00,4.490000000000001101e+00
-7.500000000000000000e+00,4.440000000000000391e+00
-7.500000000000000000e+00,4.390000000000001457e+00
-7.500000000000000000e+00,4.340000000000000746e+00
-7.500000000000000000e+00,4.290000000000000036e+00
-7.500000000000000000e+00,4.240000000000001101e+00
-7.500000000000000000e+00,4.190000000000000391e+00
-7.500000000000000000e+00,4.140000000000001457e+00
-7.500000000000000000e+00,4.040000000000000036e+00
-7.500000000000000000e+00,3.990000000000001101e+00
-7.500000000000000000e+00,3.940000000000000391e+00
-7.500000000000000000e+00,3.890000000000000568e+00
-7.500000000000000000e+00,3.840000000000000746e+00
-7.500000000000000000e+00,3.790000000000000924e+00
-7.500000000000000000e+00,3.740000000000001101e+00
-7.500000000000000000e+00,3.690000000000000391e+00
-7.500000000000000000e+00,3.590000000000000746e+00
-7.500000000000000000e+00,3.540000000000000924e+00
-7.500000000000000000e+00,3.490000000000001101e+00
-7.500000000000000000e+00,3.440000000000000391e+00
-7.450000000000000178e+00,5.140000000000001457e+00
-7.450000000000000178e+00,5.090000000000000746e+00
-7.450000000000000178e+00,5.040000000000000036e+00
-7.450000000000000178e+00,4.990000000000001101e+00
-7.450000000000000178e+00,4.940000000000000391e+00
-7.450000000000000178e+00,4.890000000000001457e+00
-7.450000000000000178e+00,4.840000000000000746e+00
-7.450000000000000178e+00,4.790000000000000036e+00
-7.450000000000000178e+00,4.740000000000001101e+00
-7.450000000000000178e+00,4.690000000000000391e+00
-7.450000000000000178e+00,4.640000000000001457e+00
-7.450000000000000178e+00,4.590000000000000746e+00
-7.450000000000000178e+00,4.540000000000000036e+00
-7.450000000000000178e+00,4.490000000000001101e+00
-7.450000000000000178e+00,4.440000000000000391e+00
-7.450000000000000178e+00,4.390000000000001457e+00
-7.450000000000000178e+00,4.340000000000000746e+00
-7.450000000000000178e+00,4.290000000000000036e+00
-7.450000000000000178e+00,4.240000000000001101e+00
-7.450000000000000178e+00,4.190000000000000391e+00
-7.450000000000000178e+00,4.140000000000001457e+00
-7.450000000000000178e+00,4.090000000000000746e+00
-7.450000000000000178e+00,4.040000000000000036e+00
-7.450000000000000178e+00,3.990000000000001101e+00
-7.450000000000000178e+00,3.940000000000000391e+00
-7.450000000000000178e+00,3.890000000000000568e+00
-7.450000000000000178e+00,3.840000000000000746e+00
-7.450000000000000178e+00,3.790000000000000924e+00
-7.450000000000000178e+00,3.740000000000001101e+00
-7.450000000000000178e+00,3.690000000000000391e+00
-7.450000000000000178e+00,3.640000000000000568e+00
-7.450000000000000178e+00,3.590000000000000746e+00
-7.450000000000000178e+00,3.540000000000000924e+00
-7.450000000000000178e+00,3.490000000000001101e+00
-7.450000000000000178e+00,3.440000000000000391e+00
-7.450000000000000178e+00,3.390000000000000568e+00
-7.450000000000000178e+00,3.340000000000000746e+00
-7.450000000000000178e+00,3.290000000000000924e+00
-7.450000000000000178e+00,3.240000000000001101e+00
-7.450000000000000178e+00,3.190000000000000391e+00
-7.450000000000000178e+00,3.140000000000000568e+00
-7.450000000000000178e+00,3.090000000000000746e+00
-7.450000000000000178e+00,3.040000000000000924e+00
-7.450000000000000178e+00,2.990000000000001101e+00
-7.450000000000000178e+00,2.940000000000000391e+00
-7.450000000000000178e+00,2.890000000000000568e+00
-7.450000000000000178e+00,2.840000000000000746e+00
-7.450000000000000178e+00,2.790000000000000924e+00
-7.450000000000000178e+00,2.740000000000001101e+00
-7.450000000000000178e+00,2.690000000000000391e+00
-7.450000000000000178e+00,2.640000000000000568e+00
-7.450000000000000178e+00,2.590000000000000746e+00
-7.450000000000000178e+00,2.540000000000000924e+00
-7.450000000000000178e+00,2.490000000000001101e+00
-7.450000000000000178e+00,2.440000000000000391e+00
-7.450000000000000178e+00,2.390000000000000568e+00
-7.450000000000000178e+00,2.340000000000000746e+00
-7.450000000000000178e+00,2.290000000000000924e+00
-7.450000000000000178e+00,2.240000000000001101e+00
-7.450000000000000178e+00,2.190000000000000391e+00
-7.450000000000000178e+00,2.140000000000000568e+00
-7.450000000000000178e+00,2.090000000000000746e+00
-7.450000000000000178e+00,2.040000000000000924e+00
-7.450000000000000178e+00,1.990000000000001101e+00
-7.450000000000000178e+00,1.940000000000000391e+00
-7.450000000000000178e+00,1.890000000000000568e+00
-7.450000000000000178e+00,1.840000000000000746e+00
-7.450000000000000178e+00,1.790000000000000924e+00
-7.450000000000000178e+00,1.740000000000001101e+00
-7.450000000000000178e+00,1.690000000000000391e+00
-7.450000000000000178e+00,1.640000000000000568e+00
-7.450000000000000178e+00,1.590000000000000746e+00
-7.450000000000000178e+00,1.540000000000000924e+00
-7.450000000000000178e+00,1.490000000000001101e+00
-7.450000000000000178e+00,1.440000000000000391e+00
-7.450000000000000178e+00,1.240000000000001101e+00
-7.450000000000000178e+00,5.900000000000007461e-01
-7.400000000000000355e+00,5.140000000000001457e+00
-7.400000000000000355e+00,2.090000000000000746e+00
-7.400000000000000355e+00,1.990000000000001101e+00
-7.400000000000000355e+00,1.940000000000000391e+00
-7.400000000000000355e+00,1.890000000000000568e+00
-7.400000000000000355e+00,1.790000000000000924e+00
-7.400000000000000355e+00,1.740000000000001101e+00
-7.400000000000000355e+00,1.690000000000000391e+00
-7.400000000000000355e+00,1.640000000000000568e+00
-7.400000000000000355e+00,1.590000000000000746e+00
-7.400000000000000355e+00,1.540000000000000924e+00
-7.400000000000000355e+00,1.490000000000001101e+00
-7.400000000000000355e+00,1.440000000000000391e+00
-7.400000000000000355e+00,1.390000000000000568e+00
-7.400000000000000355e+00,1.340000000000000746e+00
-7.400000000000000355e+00,1.290000000000000924e+00
-7.400000000000000355e+00,1.240000000000001101e+00
-7.400000000000000355e+00,1.190000000000000391e+00
-7.400000000000000355e+00,1.140000000000000568e+00
-7.400000000000000355e+00,1.090000000000000746e+00
-7.400000000000000355e+00,1.040000000000000924e+00
-7.400000000000000355e+00,9.900000000000011013e-01
-7.400000000000000355e+00,9.400000000000003908e-01
-7.400000000000000355e+00,7.400000000000011013e-01
-7.400000000000000355e+00,6.900000000000003908e-01
-7.400000000000000355e+00,6.400000000000005684e-01
-7.400000000000000355e+00,5.900000000000007461e-01
-7.400000000000000355e+00,5.400000000000009237e-01
-7.400000000000000355e+00,4.900000000000002132e-01
-7.400000000000000355e+00,4.400000000000003908e-01
-7.400000000000000355e+00,3.900000000000005684e-01
-7.400000000000000355e+00,3.400000000000007461e-01
-7.400000000000000355e+00,2.900000000000009237e-01
-7.400000000000000355e+00,2.400000000000002132e-01
-7.400000000000000355e+00,1.900000000000003908e-01
-7.400000000000000355e+00,1.400000000000005684e-01
-7.400000000000000355e+00,9.000000000000074607e-02
-7.400000000000000355e+00,4.000000000000092371e-02
-7.400000000000000355e+00,-9.999999999999786837e-03
-7.400000000000000355e+00,-5.999999999999960920e-02
-7.400000000000000355e+00,-1.099999999999994316e-01
-7.400000000000000355e+00,-1.599999999999992539e-01
-7.400000000000000355e+00,-2.099999999999995204e-01
-7.400000000000000355e+00,-2.599999999999993427e-01
-7.400000000000000355e+00,-3.099999999999996092e-01
-7.400000000000000355e+00,-3.599999999999994316e-01
-7.400000000000000355e+00,-4.099999999999992539e-01
-7.400000000000000355e+00,-4.599999999999995204e-01
-7.400000000000000355e+00,-5.099999999999993427e-01
-7.400000000000000355e+00,-5.599999999999996092e-01
-7.400000000000000355e+00,-6.099999999999994316e-01
-7.400000000000000355e+00,-6.599999999999992539e-01
-7.400000000000000355e+00,-7.099999999999995204e-01
-7.400000000000000355e+00,-7.599999999999993427e-01
-7.400000000000000355e+00,-8.099999999999996092e-01
-7.400000000000000355e+00,-8.599999999999994316e-01
-7.400000000000000355e+00,-9.099999999999992539e-01
-7.400000000000000355e+00,-9.599999999999995204e-01
-7.400000000000000355e+00,-1.009999999999999343e+00
-7.400000000000000355e+00,-1.059999999999999609e+00
-7.400000000000000355e+00,-1.109999999999999432e+00
-7.400000000000000355e+00,-1.159999999999999254e+00
-7.400000000000000355e+00,-1.209999999999999520e+00
-7.400000000000000355e+00,-1.259999999999999343e+00
-7.400000000000000355e+00,-1.309999999999999609e+00
-7.400000000000000355e+00,-1.359999999999999432e+00
-7.400000000000000355e+00,-1.409999999999999254e+00
-7.400000000000000355e+00,-1.459999999999999520e+00
-7.400000000000000355e+00,-1.509999999999999343e+00
-7.400000000000000355e+00,-1.559999999999999609e+00
-7.400000000000000355e+00,-1.609999999999999432e+00
-7.400000000000000355e+00,-1.659999999999999254e+00
-7.400000000000000355e+00,-1.709999999999999520e+00
-7.400000000000000355e+00,-1.759999999999999343e+00
-7.400000000000000355e+00,-1.809999999999999609e+00
-7.400000000000000355e+00,-1.859999999999999432e+00
-7.400000000000000355e+00,-1.909999999999999698e+00
-7.400000000000000355e+00,-1.959999999999999520e+00
-7.349999999999999645e+00,5.140000000000001457e+00
-7.349999999999999645e+00,9.900000000000011013e-01
-7.349999999999999645e+00,9.400000000000003908e-01
-7.349999999999999645e+00,7.400000000000011013e-01
-7.349999999999999645e+00,6.900000000000003908e-01
-7.349999999999999645e+00,-4.599999999999995204e-01
-7.349999999999999645e+00,-6.599999999999992539e-01
-7.349999999999999645e+00,-7.099999999999995204e-01
-7.349999999999999645e+00,-7.599999999999993427e-01
-7.349999999999999645e+00,-8.599999999999994316e-01
-7.349999999999999645e+00,-9.099999999999992539e-01
-7.349999999999999645e+00,-9.599999999999995204e-01
-7.349999999999999645e+00,-1.009999999999999343e+00
-7.349999999999999645e+00,-1.059999999999999609e+00
-7.349999999999999645e+00,-1.109999999999999432e+00
-7.349999999999999645e+00,-1.159999999999999254e+00
-7.349999999999999645e+00,-1.209999999999999520e+00
-7.349999999999999645e+00,-1.259999999999999343e+00
-7.349999999999999645e+00,-1.309999999999999609e+00
-7.349999999999999645e+00,-1.359999999999999432e+00
-7.349999999999999645e+00,-1.409999999999999254e+00
-7.349999999999999645e+00,-1.459999999999999520e+00
-7.349999999999999645e+00,-1.509999999999999343e+00
-7.349999999999999645e+00,-1.559999999999999609e+00
-7.349999999999999645e+00,-1.609999999999999432e+00
-7.349999999999999645e+00,-1.659999999999999254e+00
-7.349999999999999645e+00,-1.709999999999999520e+00
-7.349999999999999645e+00,-1.759999999999999343e+00
-7.349999999999999645e+00,-1.809999999999999609e+00
-7.349999999999999645e+00,-1.859999999999999432e+00
-7.349999999999999645e+00,-1.909999999999999698e+00
-7.349999999999999645e+00,-1.959999999999999520e+00
-7.349999999999999645e+00,-2.009999999999999343e+00
-7.349999999999999645e+00,-2.059999999999999609e+00
-7.349999999999999645e+00,-2.109999999999999432e+00
-7.349999999999999645e+00,-2.159999999999999254e+00
-7.349999999999999645e+00,-2.209999999999999520e+00
-7.349999999999999645e+00,-2.259999999999999787e+00
-7.349999999999999645e+00,-2.309999999999999609e+00
-7.349999999999999645e+00,-2.359999999999999432e+00
-7.349999999999999645e+00,-2.409999999999999254e+00
-7.349999999999999645e+00,-2.459999999999999520e+00
-7.349999999999999645e+00,-2.509999999999999787e+00
-7.349999999999999645e+00,-2.559999999999999609e+00
-7.349999999999999645e+00,-2.609999999999999432e+00
-7.349999999999999645e+00,-2.659999999999999254e+00
-7.349999999999999645e+00,-2.709999999999999520e+00
-7.349999999999999645e+00,-2.759999999999999787e+00
-7.349999999999999645e+00,-2.809999999999999609e+00
-7.349999999999999645e+00,-2.859999999999999432e+00
-7.349999999999999645e+00,-2.909999999999999254e+00
-7.349999999999999645e+00,-2.959999999999999520e+00
-7.349999999999999645e+00,-3.009999999999999787e+00
-7.349999999999999645e+00,-3.059999999999999609e+00
-7.349999999999999645e+00,-3.109999999999999432e+00
-7.349999999999999645e+00,-3.159999999999999698e+00
-7.349999999999999645e+00,-3.209999999999999520e+00
-7.349999999999999645e+00,-3.259999999999999787e+00
-7.349999999999999645e+00,-3.309999999999999609e+00
-7.349999999999999645e+00,-3.359999999999999432e+00
-7.349999999999999645e+00,-3.409999999999999698e+00
-7.349999999999999645e+00,-3.459999999999999520e+00
-7.349999999999999645e+00,-3.509999999999999787e+00
-7.349999999999999645e+00,-3.559999999999999609e+00
-7.349999999999999645e+00,-3.609999999999999432e+00
-7.349999999999999645e+00,-3.659999999999999698e+00
-7.349999999999999645e+00,-3.709999999999999520e+00
-7.349999999999999645e+00,-3.809999999999999609e+00
-7.349999999999999645e+00,-3.859999999999999432e+00
-7.299999999999999822e+00,5.140000000000001457e+00
-7.299999999999999822e+00,9.400000000000003908e-01
-7.299999999999999822e+00,7.400000000000011013e-01
-7.299999999999999822e+00,6.900000000000003908e-01
-7.299999999999999822e+00,-3.559999999999999609e+00
-7.299999999999999822e+00,-3.659999999999999698e+00
-7.299999999999999822e+00,-3.709999999999999520e+00
-7.299999999999999822e+00,-3.759999999999999787e+00
-7.299999999999999822e+00,-3.809999999999999609e+00
-7.299999999999999822e+00,-3.909999999999999698e+00
-7.299999999999999822e+00,-3.959999999999999520e+00
-7.299999999999999822e+00,-4.009999999999999787e+00
-7.250000000000000000e+00,5.140000000000001457e+00
-7.250000000000000000e+00,9.400000000000003908e-01
-7.250000000000000000e+00,7.400000000000011013e-01
-7.250000000000000000e+00,6.900000000000003908e-01
-7.250000000000000000e+00,-3.959999999999999520e+00
-7.250000000000000000e+00,-4.009999999999999787e+00
-7.200000000000000178e+00,5.140000000000001457e+00
-7.200000000000000178e+00,9.900000000000011013e-01
-7.200000000000000178e+00,9.400000000000003908e-01
-7.200000000000000178e+00,7.400000000000011013e-01
-7.200000000000000178e+00,6.900000000000003908e-01
-7.200000000000000178e+00,-3.959999999999999520e+00
-7.200000000000000178e+00,-4.009999999999999787e+00
-7.150000000000000355e+00,5.140000000000001457e+00
-7.150000000000000355e+00,9.900000000000011013e-01
-7.150000000000000355e+00,9.400000000000003908e-01
-7.150000000000000355e+00,7.400000000000011013e-01
-7.150000000000000355e+00,6.900000000000003908e-01
-7.150000000000000355e+00,-3.959999999999999520e+00
-7.150000000000000355e+00,-4.009999999999999787e+00
-7.099999999999999645e+00,9.900000000000011013e-01
-7.099999999999999645e+00,9.400000000000003908e-01
-7.099999999999999645e+00,7.400000000000011013e-01
-7.099999999999999645e+00,6.900000000000003908e-01
-7.099999999999999645e+00,-3.959999999999999520e+00
-7.099999999999999645e+00,-4.009999999999999787e+00
-7.049999999999999822e+00,5.140000000000001457e+00
-7.049999999999999822e+00,5.090000000000000746e+00
-7.049999999999999822e+00,5.040000000000000036e+00
-7.049999999999999822e+00,4.990000000000001101e+00
-7.049999999999999822e+00,4.940000000000000391e+00
-7.049999999999999822e+00,4.890000000000001457e+00
-7.049999999999999822e+00,4.840000000000000746e+00
-7.049999999999999822e+00,4.790000000000000036e+00
-7.049999999999999822e+00,4.740000000000001101e+00
-7.049999999999999822e+00,9.900000000000011013e-01
-7.049999999999999822e+00,7.400000000000011013e-01
-7.049999999999999822e+00,6.900000000000003908e-01
-7.049999999999999822e+00,-3.959999999999999520e+00
-7.049999999999999822e+00,-4.009999999999999787e+00
-7.000000000000000000e+00,5.140000000000001457e+00
-7.000000000000000000e+00,5.090000000000000746e+00
-7.000000000000000000e+00,5.040000000000000036e+00
-7.000000000000000000e+00,4.940000000000000391e+00
-7.000000000000000000e+00,4.890000000000001457e+00
-7.000000000000000000e+00,4.840000000000000746e+00
-7.000000000000000000e+00,4.790000000000000036e+00
-7.000000000000000000e+00,7.400000000000011013e-01
-7.000000000000000000e+00,6.900000000000003908e-01
-7.000000000000000000e+00,-3.959999999999999520e+00
-7.000000000000000000e+00,-4.009999999999999787e+00
-6.950000000000000178e+00,5.140000000000001457e+00
-6.950000000000000178e+00,1.390000000000000568e+00
-6.950000000000000178e+00,1.340000000000000746e+00
-6.950000000000000178e+00,1.290000000000000924e+00
-6.950000000000000178e+00,1.240000000000001101e+00
-6.950000000000000178e+00,1.190000000000000391e+00
-6.950000000000000178e+00,1.140000000000000568e+00
-6.950000000000000178e+00,1.090000000000000746e+00
-6.950000000000000178e+00,1.040000000000000924e+00
-6.950000000000000178e+00,9.900000000000011013e-01
-6.950000000000000178e+00,9.400000000000003908e-01
-6.950000000000000178e+00,8.900000000000005684e-01
-6.950000000000000178e+00,7.400000000000011013e-01
-6.950000000000000178e+00,6.900000000000003908e-01
-6.950000000000000178e+00,-3.959999999999999520e+00
-6.950000000000000178e+00,-4.009999999999999787e+00
-6.900000000000000355e+00,5.140000000000001457e+00
-6.900000000000000355e+00,9.400000000000003908e-01
-6.900000000000000355e+00,8.900000000000005684e-01
-6.900000000000000355e+00,7.400000000000011013e-01
-6.900000000000000355e+00,6.900000000000003908e-01
-6.900000000000000355e+00,-3.959999999999999520e+00
-6.900000000000000355e+00,-4.009999999999999787e+00
-6.849999999999999645e+00,5.140000000000001457e+00
-6.849999999999999645e+00,9.400000000000003908e-01
-6.849999999999999645e+00,8.900000000000005684e-01
-6.849999999999999645e+00,7.400000000000011013e-01
-6.849999999999999645e+00,6.900000000000003908e-01
-6.849999999999999645e+00,-3.959999999999999520e+00
-6.799999999999999822e+00,5.140000000000001457e+00
-6.799999999999999822e+00,9.400000000000003908e-01
-6.799999999999999822e+00,8.900000000000005684e-01
-6.799999999999999822e+00,7.400000000000011013e-01
-6.799999999999999822e+00,6.900000000000003908e-01
-6.799999999999999822e+00,-3.959999999999999520e+00
-6.799999999999999822e+00,-4.009999999999999787e+00
-6.750000000000000000e+00,5.140000000000001457e+00
-6.750000000000000000e+00,9.400000000000003908e-01
-6.750000000000000000e+00,8.900000000000005684e-01
-6.750000000000000000e+00,8.400000000000007461e-01
-6.750000000000000000e+00,7.900000000000009237e-01
-6.750000000000000000e+00,7.400000000000011013e-01
-6.750000000000000000e+00,6.900000000000003908e-01
-6.750000000000000000e+00,-3.959999999999999520e+00
-6.750000000000000000e+00,-4.009999999999999787e+00
-6.700000000000000178e+00,5.140000000000001457e+00
-6.700000000000000178e+00,-3.959999999999999520e+00
-6.700000000000000178e+00,-4.009999999999999787e+00
-6.650000000000000355e+00,5.140000000000001457e+00
-6.650000000000000355e+00,-3.959999999999999520e+00
-6.650000000000000355e+00,-4.009999999999999787e+00
-6.599999999999999645e+00,5.140000000000001457e+00
-6.599999999999999645e+00,-3.959999999999999520e+00
-6.599999999999999645e+00,-4.009999999999999787e+00
-6.549999999999999822e+00,5.140000000000001457e+00
-6.549999999999999822e+00,-3.959999999999999520e+00
-6.549999999999999822e+00,-4.009999999999999787e+00
-6.500000000000000000e+00,5.140000000000001457e+00
-6.500000000000000000e+00,-3.959999999999999520e+00
-6.450000000000000178e+00,5.140000000000001457e+00
-6.450000000000000178e+00,-3.959999999999999520e+00
-6.450000000000000178e+00,-4.009999999999999787e+00
-6.400000000000000355e+00,5.140000000000001457e+00
-6.400000000000000355e+00,-3.959999999999999520e+00
-6.400000000000000355e+00,-4.009999999999999787e+00
-6.349999999999999645e+00,5.140000000000001457e+00
-6.349999999999999645e+00,-3.959999999999999520e+00
-6.349999999999999645e+00,-4.009999999999999787e+00
-6.299999999999999822e+00,5.140000000000001457e+00
-6.299999999999999822e+00,-3.959999999999999520e+00
-6.250000000000000000e+00,5.140000000000001457e+00
-6.250000000000000000e+00,-3.959999999999999520e+00
-6.200000000000000178e+00,5.140000000000001457e+00
-6.200000000000000178e+00,-3.959999999999999520e+00
-6.150000000000000355e+00,5.140000000000001457e+00
-6.150000000000000355e+00,5.090000000000000746e+00
-6.150000000000000355e+00,5.040000000000000036e+00
-6.150000000000000355e+00,4.990000000000001101e+00
-6.150000000000000355e+00,4.940000000000000391e+00
-6.150000000000000355e+00,4.890000000000001457e+00
-6.150000000000000355e+00,4.840000000000000746e+00
-6.150000000000000355e+00,4.790000000000000036e+00
-6.150000000000000355e+00,4.740000000000001101e+00
-6.150000000000000355e+00,-3.959999999999999520e+00
-6.099999999999999645e+00,5.140000000000001457e+00
-6.099999999999999645e+00,5.090000000000000746e+00
-6.099999999999999645e+00,5.040000000000000036e+00
-6.099999999999999645e+00,4.990000000000001101e+00
-6.099999999999999645e+00,4.940000000000000391e+00
-6.099999999999999645e+00,4.890000000000001457e+00
-6.099999999999999645e+00,4.840000000000000746e+00
-6.099999999999999645e+00,4.790000000000000036e+00
-6.099999999999999645e+00,-3.959999999999999520e+00
-6.049999999999999822e+00,5.140000000000001457e+00
-6.049999999999999822e+00,-3.959999999999999520e+00
-6.000000000000000000e+00,5.190000000000000391e+00
-6.000000000000000000e+00,5.140000000000001457e+00
-6.000000000000000000e+00,-3.959999999999999520e+00
-5.950000000000000178e+00,5.190000000000000391e+00
-5.950000000000000178e+00,5.140000000000001457e+00
-5.950000000000000178e+00,-3.959999999999999520e+00
-5.900000000000000355e+00,5.190000000000000391e+00
-5.900000000000000355e+00,5.140000000000001457e+00
-5.900000000000000355e+00,-3.959999999999999520e+00
-5.849999999999999645e+00,5.190000000000000391e+00
-5.849999999999999645e+00,5.140000000000001457e+00
-5.849999999999999645e+00,9.400000000000003908e-01
-5.849999999999999645e+00,8.900000000000005684e-01
-5.849999999999999645e+00,8.400000000000007461e-01
-5.849999999999999645e+00,7.900000000000009237e-01
-5.849999999999999645e+00,7.400000000000011013e-01
-5.849999999999999645e+00,-3.959999999999999520e+00
-5.799999999999999822e+00,5.190000000000000391e+00
-5.799999999999999822e+00,5.140000000000001457e+00
-5.799999999999999822e+00,9.400000000000003908e-01
-5.799999999999999822e+00,7.400000000000011013e-01
-5.799999999999999822e+00,-3.959999999999999520e+00
-5.750000000000000000e+00,5.190000000000000391e+00
-5.750000000000000000e+00,5.140000000000001457e+00
-5.750000000000000000e+00,9.900000000000011013e-01
-5.750000000000000000e+00,9.400000000000003908e-01
-5.750000000000000000e+00,7.400000000000011013e-01
-5.750000000000000000e+00,-3.959999999999999520e+00
-5.700000000000000178e+00,5.190000000000000391e+00
-5.700000000000000178e+00,5.140000000000001457e+00
-5.700000000000000178e+00,9.900000000000011013e-01
-5.700000000000000178e+00,9.400000000000003908e-01
-5.700000000000000178e+00,7.400000000000011013e-01
-5.700000000000000178e+00,-3.959999999999999520e+00
-5.650000000000000355e+00,5.190000000000000391e+00
-5.650000000000000355e+00,5.140000000000001457e+00
-5.650000000000000355e+00,9.900000000000011013e-01
-5.650000000000000355e+00,9.400000000000003908e-01
-5.650000000000000355e+00,7.400000000000011013e-01
-5.650000000000000355e+00,-1.459999999999999520e+00
-5.650000000000000355e+00,-1.909999999999999698e+00
-5.650000000000000355e+00,-1.959999999999999520e+00
-5.650000000000000355e+00,-2.409999999999999254e+00
-5.650000000000000355e+00,-3.959999999999999520e+00
-5.599999999999999645e+00,5.190000000000000391e+00
-5.599999999999999645e+00,5.140000000000001457e+00
-5.599999999999999645e+00,9.900000000000011013e-01
-5.599999999999999645e+00,9.400000000000003908e-01
-5.599999999999999645e+00,7.400000000000011013e-01
-5.599999999999999645e+00,-1.409999999999999254e+00
-5.599999999999999645e+00,-1.459999999999999520e+00
-5.599999999999999645e+00,-1.909999999999999698e+00
